timestamp,node_index,api_url,height,mempool_size,total_transactions,last_block_timestamp,api_cpu_percent,api_memory_percent,api_disk_percent,node_port
2025-04-29T03:17:16.950339,0,http://localhost:5900,3,0,4,1745893024,0.0,79.3,65.7,0
2025-04-29T03:17:16.950339,1,http://localhost:5901,3,0,4,1745893024,0.0,79.4,65.7,0
2025-04-29T03:17:22.314902,0,http://localhost:5900,3,0,4,1745893024,0.0,79.4,65.7,0
2025-04-29T03:17:22.314902,1,http://localhost:5901,3,0,4,1745893024,4.8,79.4,65.7,0
2025-04-29T03:17:27.847355,0,http://localhost:5900,3,0,4,1745893024,0.0,79.4,65.7,0
2025-04-29T03:17:27.847355,1,http://localhost:5901,3,0,4,1745893024,0.0,79.4,65.7,0
2025-04-29T03:17:33.412594,0,http://localhost:5900,3,0,4,1745893024,0.0,79.4,65.7,0
2025-04-29T03:17:33.412594,1,http://localhost:5901,3,0,4,1745893024,5.0,79.4,65.7,0
2025-04-29T03:17:38.994814,0,http://localhost:5900,3,0,4,1745893024,0.0,79.4,65.7,0
2025-04-29T03:17:38.994814,1,http://localhost:5901,3,0,4,1745893024,0.0,79.4,65.7,0
